day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00000
79,0.00000
80,0.00000
81,0.00000
82,0.00000
83,0.00000
84,0.00000
85,0.00000
86,0.00000
87,0.00000
88,0.00000
89,0.00000
90,0.00000
91,0.00002
92,0.00012
93,0.00047
94,0.00134
95,0.00285
96,0.00440
97,0.00490
98,0.00408
99,0.00319
100,0.00370
101,0.00554
102,0.00742
103,0.00806
104,0.00704
105,0.00487
106,0.00259
107,0.00104
108,0.00031
109,0.00007
110,0.00002
111,0.00005
112,0.00023
113,0.00081
114,0.00203
115,0.00362
116,0.00466
117,0.00437
118,0.00313
119,0.00226
120,0.00292
121,0.00522
122,0.00805
123,0.00973
124,0.00975
125,0.01218
126,0.01848
127,0.02760
128,0.03564
129,0.03806
130,0.03506
131,0.03310
132,0.03886
133,0.05254
134,0.06735
135,0.07488
136,0.07233
137,0.06450
138,0.06065
139,0.06104
140,0.06413
141,0.07205
142,0.09027
143,0.12342
144,0.17038
145,0.22462
146,0.27920
147,0.32712
148,0.36216
149,0.38708
150,0.41625
151,0.46728
152,0.55122
153,0.69511
154,0.81173
155,0.85105
156,0.86945
157,0.89254
158,0.92472
159,0.95769
160,0.98490
161,0.98363
162,0.95554
163,0.91998
164,0.89187
165,0.87684
166,0.87099
167,0.86921
168,0.87357
169,0.87952
170,0.86798
171,0.82503
172,0.75844
173,0.68753
174,0.62864
175,0.59144
176,0.57716
177,0.57688
178,0.57426
179,0.55397
180,0.51346
181,0.46641
182,0.42690
183,0.39634
184,0.37181
185,0.35327
186,0.33746
187,0.31946
188,0.30883
189,0.32084
190,0.32428
191,0.30789
192,0.27378
193,0.23699
194,0.20848
195,0.19765
196,0.21468
197,0.22855
198,0.22556
199,0.20146
200,0.16857
201,0.14052
202,0.12162
203,0.10950
204,0.09996
205,0.08917
206,0.07579
207,0.06214
208,0.05148
209,0.04514
210,0.04261
211,0.04298
212,0.04567
213,0.05005
214,0.05440
215,0.05567
216,0.05204
217,0.04642
218,0.04405
219,0.04636
220,0.05219
221,0.06061
222,0.06797
223,0.06813
224,0.05940
225,0.04827
226,0.03911
227,0.03181
228,0.02524
229,0.02012
230,0.01866
231,0.02446
232,0.02800
233,0.02252
234,0.01372
235,0.00654
236,0.00352
237,0.00483
238,0.00962
239,0.01591
240,0.02079
241,0.02218
242,0.01982
243,0.01474
244,0.00885
245,0.00418
246,0.00175
247,0.00139
248,0.00245
249,0.00405
250,0.00507
251,0.00505
252,0.00491
253,0.00582
254,0.00766
255,0.00965
256,0.01152
257,0.01296
258,0.01277
259,0.01012
260,0.00614
261,0.00279
262,0.00095
263,0.00025
264,0.00007
265,0.00015
266,0.00116
267,0.00372
268,0.00601
269,0.00762
270,0.00776
271,0.00639
272,0.00426
273,0.00255
274,0.00214
275,0.00302
276,0.00427
277,0.00464
278,0.00370
279,0.00215
280,0.00090
281,0.00027
282,0.00006
283,0.00001
284,0.00000
285,0.00000
286,0.00000
287,0.00000
288,0.00000
289,0.00000
290,0.00000
291,0.00000
292,0.00000
293,0.00000
294,0.00000
295,0.00000
296,0.00000
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00000
307,0.00002
308,0.00011
309,0.00045
310,0.00132
311,0.00278
312,0.00419
313,0.00460
314,0.00370
315,0.00218
316,0.00094
317,0.00029
318,0.00006
319,0.00001
320,0.00000
321,0.00000
322,0.00000
323,0.00000
324,0.00000
325,0.00000
326,0.00000
327,0.00000
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
