day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00230
5,0.00160
6,0.00100
7,0.00056
8,0.00029
9,0.00013
10,0.00006
11,0.00002
12,0.00001
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00001
30,0.00002
31,0.00005
32,0.00012
33,0.00027
34,0.00053
35,0.00094
36,0.00152
37,0.00220
38,0.00287
39,0.00339
40,0.00361
41,0.00348
42,0.00303
43,0.00238
44,0.00168
45,0.00107
46,0.00061
47,0.00031
48,0.00014
49,0.00006
50,0.00002
51,0.00001
52,0.00000
53,0.00000
54,0.00001
55,0.00002
56,0.00007
57,0.00017
58,0.00038
59,0.00076
60,0.00139
61,0.00230
62,0.00345
63,0.00473
64,0.00590
65,0.00673
66,0.00701
67,0.00671
68,0.00599
69,0.00513
70,0.00450
71,0.00438
72,0.00484
73,0.00570
74,0.00662
75,0.00722
76,0.00722
77,0.00657
78,0.00542
79,0.00405
80,0.00274
81,0.00167
82,0.00092
83,0.00046
84,0.00022
85,0.00011
86,0.00011
87,0.00019
88,0.00037
89,0.00094
90,0.00182
91,0.00254
92,0.00318
93,0.00360
94,0.00368
95,0.00345
96,0.00304
97,0.00265
98,0.00247
99,0.00260
100,0.00307
101,0.00380
102,0.00469
103,0.00562
104,0.00655
105,0.00741
106,0.00808
107,0.00842
108,0.00827
109,0.00758
110,0.00647
111,0.00521
112,0.00413
113,0.00348
114,0.00341
115,0.00386
116,0.00473
117,0.00595
118,0.00760
119,0.00985
120,0.01291
121,0.01700
122,0.02223
123,0.02866
124,0.04026
125,0.05257
126,0.05979
127,0.06504
128,0.06767
129,0.06758
130,0.06521
131,0.06127
132,0.05650
133,0.05162
134,0.04736
135,0.04469
136,0.04470
137,0.04834
138,0.05625
139,0.06835
140,0.08344
141,0.09924
142,0.11276
143,0.12114
144,0.12258
145,0.11691
146,0.10561
147,0.09129
148,0.07692
149,0.06505
150,0.05733
151,0.05441
152,0.05615
153,0.06189
154,0.07082
155,0.08215
156,0.09516
157,0.10920
158,0.12355
159,0.13765
160,0.15791
161,0.17849
162,0.19373
163,0.21068
164,0.22890
165,0.24684
166,0.26405
167,0.28011
168,0.29521
169,0.30986
170,0.32437
171,0.33859
172,0.35209
173,0.36445
174,0.37571
175,0.38641
176,0.39739
177,0.40947
178,0.42320
179,0.43860
180,0.45525
181,0.47280
182,0.49160
183,0.51314
184,0.54001
185,0.57489
186,0.61921
187,0.67208
188,0.73014
189,0.78859
190,0.84281
191,0.88975
192,0.92823
193,0.95843
194,0.98081
195,0.99513
196,0.99816
197,0.98120
198,0.95414
199,0.91646
200,0.87016
201,0.81662
202,0.76291
203,0.71510
204,0.68028
205,0.66547
206,0.67567
207,0.71170
208,0.76865
209,0.83598
210,0.89948
211,0.94452
212,0.95972
213,0.93966
214,0.88605
215,0.80689
216,0.71419
217,0.62078
218,0.53748
219,0.47111
220,0.42406
221,0.39500
222,0.38022
223,0.37470
224,0.37391
225,0.37471
226,0.37498
227,0.37315
228,0.36806
229,0.35924
230,0.34741
231,0.33258
232,0.31725
233,0.30867
234,0.30495
235,0.30117
236,0.29585
237,0.28844
238,0.27908
239,0.26810
240,0.25578
241,0.24252
242,0.22924
243,0.21758
244,0.20932
245,0.20578
246,0.20717
247,0.21241
248,0.21944
249,0.22579
250,0.22942
251,0.22919
252,0.22490
253,0.21711
254,0.20671
255,0.19468
256,0.18204
257,0.16988
258,0.15933
259,0.15133
260,0.14637
261,0.14420
262,0.14387
263,0.14401
264,0.14331
265,0.14081
266,0.13344
267,0.12235
268,0.11309
269,0.10465
270,0.09741
271,0.09215
272,0.08939
273,0.08926
274,0.09146
275,0.09523
276,0.09945
277,0.10289
278,0.10458
279,0.10407
280,0.10152
281,0.09758
282,0.09327
283,0.08969
284,0.08808
285,0.08962
286,0.09493
287,0.10336
288,0.11337
289,0.12270
290,0.12911
291,0.13113
292,0.12849
293,0.12225
294,0.11428
295,0.10656
296,0.10052
297,0.09662
298,0.09445
299,0.09309
300,0.09158
301,0.08919
302,0.08326
303,0.07548
304,0.06985
305,0.06455
306,0.05995
307,0.05626
308,0.05354
309,0.05192
310,0.05143
311,0.05192
312,0.05299
313,0.05410
314,0.05470
315,0.05444
316,0.05322
317,0.05110
318,0.04820
319,0.04468
320,0.04066
321,0.03633
322,0.03197
323,0.02796
324,0.02477
325,0.02276
326,0.02213
327,0.02272
328,0.02406
329,0.02542
330,0.02615
331,0.02596
332,0.02498
333,0.02361
334,0.02230
335,0.02136
336,0.02084
337,0.02064
338,0.02079
339,0.02101
340,0.02114
341,0.02087
342,0.01988
343,0.01799
344,0.01527
345,0.01209
346,0.00889
347,0.00608
348,0.00390
349,0.00246
350,0.00173
351,0.00157
352,0.00184
353,0.00238
354,0.00299
355,0.00346
356,0.00363
357,0.00346
358,0.00297
359,0.00000
360,0.00000
