day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.06579
5,0.06676
6,0.06687
7,0.06611
8,0.06450
9,0.06209
10,0.05899
11,0.05531
12,0.05120
13,0.04682
14,0.04231
15,0.03783
16,0.03352
17,0.02950
18,0.02427
19,0.01997
20,0.01769
21,0.01583
22,0.01432
23,0.01312
24,0.01217
25,0.01143
26,0.01085
27,0.01039
28,0.01002
29,0.00970
30,0.00942
31,0.00914
32,0.00887
33,0.00859
34,0.00832
35,0.00806
36,0.00783
37,0.00762
38,0.00743
39,0.00727
40,0.00712
41,0.00697
42,0.00680
43,0.00661
44,0.00637
45,0.00609
46,0.00577
47,0.00542
48,0.00506
49,0.00470
50,0.00435
51,0.00403
52,0.00375
53,0.00343
54,0.00324
55,0.00322
56,0.00329
57,0.00346
58,0.00372
59,0.00405
60,0.00443
61,0.00483
62,0.00521
63,0.00553
64,0.00576
65,0.00588
66,0.00588
67,0.00576
68,0.00553
69,0.00523
70,0.00489
71,0.00455
72,0.00426
73,0.00406
74,0.00399
75,0.00407
76,0.00433
77,0.00475
78,0.00533
79,0.00604
80,0.00685
81,0.00773
82,0.00863
83,0.00955
84,0.01048
85,0.01145
86,0.01249
87,0.01366
88,0.01501
89,0.01755
90,0.02072
91,0.02334
92,0.02639
93,0.02992
94,0.03402
95,0.03874
96,0.04417
97,0.05039
98,0.05753
99,0.06564
100,0.07474
101,0.08490
102,0.09618
103,0.10864
104,0.12233
105,0.13731
106,0.15361
107,0.17122
108,0.19013
109,0.21028
110,0.23163
111,0.25412
112,0.27784
113,0.30274
114,0.32891
115,0.35645
116,0.38546
117,0.41600
118,0.44802
119,0.48142
120,0.51596
121,0.55134
122,0.58715
123,0.62299
124,0.67568
125,0.72616
126,0.75774
127,0.78743
128,0.81505
129,0.84047
130,0.86369
131,0.88474
132,0.90377
133,0.92092
134,0.93637
135,0.95025
136,0.96263
137,0.97350
138,0.98267
139,0.99002
140,0.99543
141,0.99878
142,1.00000
143,0.99911
144,0.99621
145,0.99141
146,0.98491
147,0.97685
148,0.96741
149,0.95672
150,0.94488
151,0.93201
152,0.91815
153,0.90349
154,0.88817
155,0.87234
156,0.85615
157,0.83978
158,0.82345
159,0.80737
160,0.78432
161,0.76286
162,0.74986
163,0.73791
164,0.72694
165,0.71677
166,0.70704
167,0.69743
168,0.68758
169,0.67721
170,0.66606
171,0.65400
172,0.64098
173,0.62705
174,0.61236
175,0.59715
176,0.58173
177,0.56649
178,0.55193
179,0.53857
180,0.52683
181,0.51706
182,0.50948
183,0.50411
184,0.50077
185,0.49907
186,0.49849
187,0.49845
188,0.49836
189,0.49777
190,0.49635
191,0.49400
192,0.49074
193,0.48686
194,0.48267
195,0.47636
196,0.47036
197,0.46657
198,0.46277
199,0.45878
200,0.45442
201,0.44958
202,0.44425
203,0.43856
204,0.43275
205,0.42720
206,0.42231
207,0.41842
208,0.41579
209,0.41460
210,0.41486
211,0.41648
212,0.41923
213,0.42280
214,0.42683
215,0.43094
216,0.43477
217,0.43803
218,0.44050
219,0.44209
220,0.44290
221,0.44307
222,0.44279
223,0.44224
224,0.44155
225,0.44080
226,0.43996
227,0.43893
228,0.43756
229,0.43570
230,0.43322
231,0.42816
232,0.42197
233,0.41746
234,0.41301
235,0.40888
236,0.40530
237,0.40238
238,0.40016
239,0.39852
240,0.39728
241,0.39618
242,0.39493
243,0.39331
244,0.39121
245,0.38860
246,0.38569
247,0.38276
248,0.38005
249,0.37780
250,0.37610
251,0.37493
252,0.37413
253,0.37342
254,0.37246
255,0.37088
256,0.36835
257,0.36460
258,0.35939
259,0.35257
260,0.34427
261,0.33462
262,0.32386
263,0.31234
264,0.30046
265,0.28866
266,0.27220
267,0.25788
268,0.25016
269,0.24395
270,0.23922
271,0.23594
272,0.23389
273,0.23283
274,0.23256
275,0.23291
276,0.23377
277,0.23503
278,0.23663
279,0.23856
280,0.24078
281,0.24324
282,0.24584
283,0.24841
284,0.25073
285,0.25243
286,0.25322
287,0.25284
288,0.25115
289,0.24811
290,0.24385
291,0.23863
292,0.23281
293,0.22679
294,0.22099
295,0.21574
296,0.21127
297,0.20769
298,0.20497
299,0.20299
300,0.20147
301,0.20016
302,0.19810
303,0.19556
304,0.19342
305,0.19091
306,0.18803
307,0.18478
308,0.18113
309,0.17702
310,0.17234
311,0.16699
312,0.16089
313,0.15410
314,0.14672
315,0.13895
316,0.13104
317,0.12329
318,0.11596
319,0.10931
320,0.10347
321,0.09851
322,0.09441
323,0.09104
324,0.08825
325,0.08584
326,0.08362
327,0.08145
328,0.07926
329,0.07705
330,0.07483
331,0.07267
332,0.07058
333,0.06860
334,0.06672
335,0.06490
336,0.06310
337,0.06027
338,0.05726
339,0.05514
340,0.05300
341,0.05091
342,0.04894
343,0.04716
344,0.04564
345,0.04443
346,0.04358
347,0.04312
348,0.04309
349,0.04354
350,0.04448
351,0.04595
352,0.04794
353,0.05036
354,0.05310
355,0.05600
356,0.05890
357,0.06158
358,0.06385
359,0.00000
360,0.00000
