day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00230
5,0.00194
6,0.00173
7,0.00161
8,0.00151
9,0.00139
10,0.00122
11,0.00100
12,0.00076
13,0.00055
14,0.00037
15,0.00025
16,0.00019
17,0.00020
18,0.00032
19,0.00057
20,0.00078
21,0.00100
22,0.00119
23,0.00130
24,0.00133
25,0.00124
26,0.00108
27,0.00086
28,0.00063
29,0.00043
30,0.00027
31,0.00016
32,0.00009
33,0.00004
34,0.00002
35,0.00001
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00001
45,0.00002
46,0.00003
47,0.00007
48,0.00014
49,0.00024
50,0.00039
51,0.00059
52,0.00081
53,0.00112
54,0.00131
55,0.00132
56,0.00122
57,0.00105
58,0.00083
59,0.00061
60,0.00041
61,0.00025
62,0.00015
63,0.00008
64,0.00005
65,0.00004
66,0.00006
67,0.00010
68,0.00019
69,0.00031
70,0.00050
71,0.00073
72,0.00100
73,0.00128
74,0.00155
75,0.00178
76,0.00197
77,0.00211
78,0.00221
79,0.00231
80,0.00244
81,0.00263
82,0.00292
83,0.00334
84,0.00388
85,0.00455
86,0.00528
87,0.00606
88,0.00684
89,0.00805
90,0.00927
91,0.01005
92,0.01075
93,0.01131
94,0.01169
95,0.01192
96,0.01208
97,0.01230
98,0.01273
99,0.01347
100,0.01459
101,0.01607
102,0.01782
103,0.01967
104,0.02144
105,0.02298
106,0.02422
107,0.02521
108,0.02605
109,0.02695
110,0.02811
111,0.02975
112,0.03206
113,0.03518
114,0.03924
115,0.04434
116,0.05049
117,0.05767
118,0.06570
119,0.07434
120,0.08319
121,0.09184
122,0.09991
123,0.10713
124,0.11652
125,0.12549
126,0.13233
127,0.14086
128,0.15196
129,0.16636
130,0.18462
131,0.20703
132,0.23366
133,0.26431
134,0.29852
135,0.33558
136,0.37455
137,0.41424
138,0.45346
139,0.49115
140,0.52671
141,0.56009
142,0.59218
143,0.62401
144,0.65653
145,0.69023
146,0.72497
147,0.76003
148,0.79439
149,0.82703
150,0.85719
151,0.88449
152,0.90891
153,0.93057
154,0.94965
155,0.96613
156,0.97985
157,0.99039
158,0.99727
159,1.00000
160,0.99499
161,0.98190
162,0.96910
163,0.95451
164,0.93914
165,0.92397
166,0.90985
167,0.89749
168,0.88737
169,0.87959
170,0.87377
171,0.86906
172,0.86441
173,0.85872
174,0.85114
175,0.84107
176,0.82825
177,0.81268
178,0.79459
179,0.77467
180,0.75388
181,0.73311
182,0.71306
183,0.69407
184,0.67621
185,0.65944
186,0.64385
187,0.62977
188,0.61764
189,0.60784
190,0.60040
191,0.59492
192,0.59070
193,0.58698
194,0.58324
195,0.57740
196,0.57167
197,0.56777
198,0.56305
199,0.55658
200,0.54755
201,0.53559
202,0.52100
203,0.50461
204,0.48760
205,0.47109
206,0.45595
207,0.44269
208,0.43156
209,0.42268
210,0.41618
211,0.41217
212,0.41067
213,0.41147
214,0.41402
215,0.41740
216,0.42031
217,0.42145
218,0.41980
219,0.41485
220,0.40680
221,0.39653
222,0.38542
223,0.37498
224,0.36639
225,0.36020
226,0.35620
227,0.35361
228,0.35136
229,0.34850
230,0.34439
231,0.33529
232,0.32362
233,0.31468
234,0.30547
235,0.29668
236,0.28903
237,0.28309
238,0.27918
239,0.27717
240,0.27656
241,0.27662
242,0.27654
243,0.27566
244,0.27361
245,0.27036
246,0.26620
247,0.26166
248,0.25725
249,0.25335
250,0.25003
251,0.24703
252,0.24388
253,0.24006
254,0.23528
255,0.22965
256,0.22357
257,0.21761
258,0.21230
259,0.20794
260,0.20445
261,0.20145
262,0.19839
263,0.19474
264,0.19023
265,0.18487
266,0.17600
267,0.16748
268,0.16266
269,0.15872
270,0.15565
271,0.15329
272,0.15145
273,0.14984
274,0.14824
275,0.14645
276,0.14433
277,0.14191
278,0.13940
279,0.13714
280,0.13557
281,0.13503
282,0.13568
283,0.13734
284,0.13956
285,0.14166
286,0.14291
287,0.14274
288,0.14081
289,0.13708
290,0.13177
291,0.12533
292,0.11840
293,0.11159
294,0.10537
295,0.10006
296,0.09578
297,0.09243
298,0.08977
299,0.08751
300,0.08537
301,0.08315
302,0.07948
303,0.07544
304,0.07255
305,0.06953
306,0.06640
307,0.06318
308,0.05989
309,0.05655
310,0.05317
311,0.04975
312,0.04632
313,0.04294
314,0.03971
315,0.03672
316,0.03401
317,0.03159
318,0.02940
319,0.02737
320,0.02541
321,0.02348
322,0.02157
323,0.01972
324,0.01798
325,0.01642
326,0.01509
327,0.01403
328,0.01325
329,0.01273
330,0.01242
331,0.01222
332,0.01205
333,0.01180
334,0.01142
335,0.01088
336,0.01024
337,0.00926
338,0.00842
339,0.00798
340,0.00758
341,0.00720
342,0.00681
343,0.00644
344,0.00612
345,0.00590
346,0.00580
347,0.00580
348,0.00589
349,0.00602
350,0.00615
351,0.00620
352,0.00614
353,0.00591
354,0.00548
355,0.00489
356,0.00419
357,0.00347
358,0.00281
359,0.00000
360,0.00000
