day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.01113
5,0.01241
6,0.01380
7,0.01532
8,0.01699
9,0.01880
10,0.02076
11,0.02288
12,0.02518
13,0.02768
14,0.03042
15,0.03341
16,0.03666
17,0.04021
18,0.04616
19,0.05282
20,0.05789
21,0.06343
22,0.06946
23,0.07605
24,0.08322
25,0.09103
26,0.09955
27,0.10893
28,0.11910
29,0.13011
30,0.14198
31,0.15475
32,0.16846
33,0.18321
34,0.19905
35,0.21586
36,0.23364
37,0.25237
38,0.27202
39,0.29257
40,0.31406
41,0.33638
42,0.35938
43,0.38301
44,0.40718
45,0.43181
46,0.45682
47,0.48215
48,0.50766
49,0.53324
50,0.55883
51,0.58435
52,0.60973
53,0.64729
54,0.68413
55,0.70815
56,0.73170
57,0.75472
58,0.77716
59,0.79892
60,0.81987
61,0.84004
62,0.85938
63,0.87783
64,0.89531
65,0.91176
66,0.92697
67,0.94087
68,0.95351
69,0.96480
70,0.97468
71,0.98310
72,0.98999
73,0.99502
74,0.99835
75,1.00000
76,0.99995
77,0.99819
78,0.99469
79,0.98946
80,0.98217
81,0.97321
82,0.96259
83,0.95037
84,0.93659
85,0.92131
86,0.90450
87,0.88614
88,0.86652
89,0.83478
90,0.80092
91,0.77709
92,0.75236
93,0.72685
94,0.70075
95,0.67415
96,0.64714
97,0.61983
98,0.59231
99,0.56467
100,0.53706
101,0.50957
102,0.48230
103,0.45534
104,0.42877
105,0.40267
106,0.37727
107,0.35255
108,0.32856
109,0.30537
110,0.28303
111,0.26158
112,0.24112
113,0.22180
114,0.20348
115,0.18617
116,0.16987
117,0.15459
118,0.14030
119,0.12708
120,0.11491
121,0.10367
122,0.09329
123,0.08376
124,0.07103
125,0.05987
126,0.05339
127,0.04752
128,0.04221
129,0.03741
130,0.03311
131,0.02924
132,0.02585
133,0.02283
134,0.02013
135,0.01773
136,0.01561
137,0.01373
138,0.01208
139,0.01067
140,0.00943
141,0.00836
142,0.00742
143,0.00662
144,0.00594
145,0.00536
146,0.00489
147,0.00450
148,0.00418
149,0.00393
150,0.00373
151,0.00358
152,0.00347
153,0.00341
154,0.00338
155,0.00337
156,0.00339
157,0.00343
158,0.00348
159,0.00354
160,0.00365
161,0.00377
162,0.00385
163,0.00393
164,0.00401
165,0.00409
166,0.00415
167,0.00422
168,0.00428
169,0.00433
170,0.00438
171,0.00443
172,0.00448
173,0.00452
174,0.00457
175,0.00462
176,0.00467
177,0.00473
178,0.00480
179,0.00488
180,0.00497
181,0.00508
182,0.00519
183,0.00532
184,0.00546
185,0.00561
186,0.00577
187,0.00594
188,0.00611
189,0.00629
190,0.00647
191,0.00665
192,0.00682
193,0.00698
194,0.00713
195,0.00732
196,0.00748
197,0.00756
198,0.00761
199,0.00764
200,0.00764
201,0.00763
202,0.00759
203,0.00752
204,0.00744
205,0.00734
206,0.00722
207,0.00709
208,0.00695
209,0.00680
210,0.00664
211,0.00648
212,0.00633
213,0.00617
214,0.00602
215,0.00587
216,0.00573
217,0.00559
218,0.00547
219,0.00535
220,0.00524
221,0.00514
222,0.00504
223,0.00495
224,0.00486
225,0.00478
226,0.00470
227,0.00463
228,0.00455
229,0.00448
230,0.00440
231,0.00430
232,0.00419
233,0.00412
234,0.00406
235,0.00399
236,0.00393
237,0.00387
238,0.00381
239,0.00375
240,0.00370
241,0.00365
242,0.00360
243,0.00356
244,0.00351
245,0.00347
246,0.00343
247,0.00338
248,0.00333
249,0.00328
250,0.00323
251,0.00317
252,0.00311
253,0.00304
254,0.00296
255,0.00288
256,0.00280
257,0.00270
258,0.00261
259,0.00251
260,0.00240
261,0.00229
262,0.00218
263,0.00207
264,0.00195
265,0.00184
266,0.00167
267,0.00151
268,0.00140
269,0.00129
270,0.00119
271,0.00110
272,0.00101
273,0.00092
274,0.00084
275,0.00076
276,0.00068
277,0.00061
278,0.00055
279,0.00049
280,0.00044
281,0.00039
282,0.00035
283,0.00031
284,0.00027
285,0.00025
286,0.00022
287,0.00020
288,0.00018
289,0.00017
290,0.00016
291,0.00016
292,0.00016
293,0.00016
294,0.00016
295,0.00017
296,0.00018
297,0.00018
298,0.00019
299,0.00020
300,0.00021
301,0.00022
302,0.00024
303,0.00025
304,0.00025
305,0.00026
306,0.00026
307,0.00026
308,0.00026
309,0.00025
310,0.00025
311,0.00024
312,0.00023
313,0.00022
314,0.00021
315,0.00020
316,0.00018
317,0.00017
318,0.00016
319,0.00014
320,0.00013
321,0.00012
322,0.00011
323,0.00010
324,0.00009
325,0.00009
326,0.00009
327,0.00009
328,0.00009
329,0.00009
330,0.00010
331,0.00012
332,0.00014
333,0.00017
334,0.00020
335,0.00024
336,0.00029
337,0.00039
338,0.00052
339,0.00063
340,0.00075
341,0.00089
342,0.00106
343,0.00126
344,0.00148
345,0.00174
346,0.00204
347,0.00237
348,0.00274
349,0.00317
350,0.00365
351,0.00419
352,0.00479
353,0.00545
354,0.00619
355,0.00699
356,0.00789
357,0.00888
358,0.00996
359,0.00000
360,0.00000
