day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00001
19,0.00015
20,0.00059
21,0.00153
22,0.00275
23,0.00366
24,0.00381
25,0.00312
26,0.00193
27,0.00086
28,0.00026
29,0.00005
30,0.00001
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00001
75,0.00007
76,0.00030
77,0.00088
78,0.00174
79,0.00234
80,0.00211
81,0.00127
82,0.00050
83,0.00013
84,0.00002
85,0.00000
86,0.00000
87,0.00003
88,0.00016
89,0.00104
90,0.00242
91,0.00289
92,0.00297
93,0.00311
94,0.00345
95,0.00451
96,0.00679
97,0.00907
98,0.00924
99,0.00726
100,0.00497
101,0.00340
102,0.00243
103,0.00209
104,0.00230
105,0.00241
106,0.00190
107,0.00106
108,0.00047
109,0.00043
110,0.00097
111,0.00187
112,0.00262
113,0.00294
114,0.00306
115,0.00333
116,0.00386
117,0.00468
118,0.00552
119,0.00607
120,0.00723
121,0.01046
122,0.01515
123,0.01882
124,0.02179
125,0.02767
126,0.03366
127,0.03864
128,0.04235
129,0.04627
130,0.05237
131,0.06033
132,0.06695
133,0.07369
134,0.08648
135,0.10214
136,0.11299
137,0.12076
138,0.13326
139,0.15465
140,0.18656
141,0.22491
142,0.26343
143,0.30352
144,0.34798
145,0.39082
146,0.42384
147,0.44999
148,0.48368
149,0.53562
150,0.59840
151,0.65066
152,0.67709
153,0.68171
154,0.68241
155,0.69904
156,0.74087
157,0.79869
158,0.85832
159,0.93341
160,0.98618
161,0.99923
162,0.99563
163,0.97034
164,0.92225
165,0.87092
166,0.83106
167,0.81592
168,0.82809
169,0.84397
170,0.83800
171,0.82132
172,0.81294
173,0.80415
174,0.79217
175,0.79595
176,0.80562
177,0.77734
178,0.70537
179,0.62786
180,0.56614
181,0.51756
182,0.47950
183,0.44948
184,0.42188
185,0.39399
186,0.36417
187,0.33108
188,0.30208
189,0.28817
190,0.28630
191,0.28134
192,0.26688
193,0.25135
194,0.24427
195,0.24594
196,0.24741
197,0.23802
198,0.21525
199,0.18637
200,0.16328
201,0.15141
202,0.14713
203,0.14299
204,0.13374
205,0.11821
206,0.09826
207,0.07839
208,0.06368
209,0.05522
210,0.05044
211,0.04786
212,0.04767
213,0.04944
214,0.05240
215,0.05479
216,0.05420
217,0.05167
218,0.04979
219,0.04597
220,0.03720
221,0.02810
222,0.02444
223,0.02425
224,0.02239
225,0.01909
226,0.01771
227,0.01905
228,0.02137
229,0.02283
230,0.02256
231,0.01982
232,0.01583
233,0.01397
234,0.01339
235,0.01267
236,0.01139
237,0.01061
238,0.01078
239,0.01135
240,0.01167
241,0.01121
242,0.00984
243,0.00844
244,0.00816
245,0.00893
246,0.00929
247,0.00825
248,0.00642
249,0.00512
250,0.00537
251,0.00759
252,0.01096
253,0.01339
254,0.01321
255,0.01086
256,0.00821
257,0.00654
258,0.00552
259,0.00465
260,0.00445
261,0.00533
262,0.00632
263,0.00616
264,0.00488
265,0.00366
266,0.00279
267,0.00154
268,0.00065
269,0.00019
270,0.00004
271,0.00001
272,0.00002
273,0.00012
274,0.00049
275,0.00125
276,0.00209
277,0.00235
278,0.00187
279,0.00133
280,0.00144
281,0.00206
282,0.00244
283,0.00226
284,0.00206
285,0.00228
286,0.00259
287,0.00272
288,0.00333
289,0.00491
290,0.00649
291,0.00644
292,0.00454
293,0.00224
294,0.00075
295,0.00017
296,0.00002
297,0.00000
298,0.00000
299,0.00000
300,0.00000
301,0.00000
302,0.00000
303,0.00000
304,0.00000
305,0.00000
306,0.00002
307,0.00012
308,0.00047
309,0.00124
310,0.00217
311,0.00246
312,0.00178
313,0.00083
314,0.00025
315,0.00005
316,0.00001
317,0.00001
318,0.00007
319,0.00033
320,0.00099
321,0.00190
322,0.00241
323,0.00201
324,0.00112
325,0.00041
326,0.00010
327,0.00002
328,0.00000
329,0.00000
330,0.00000
331,0.00000
332,0.00000
333,0.00000
334,0.00000
335,0.00000
336,0.00000
337,0.00000
338,0.00000
339,0.00000
340,0.00000
341,0.00000
342,0.00000
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
