day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00503
5,0.00614
6,0.00547
7,0.00355
8,0.00168
9,0.00061
10,0.00036
11,0.00077
12,0.00161
13,0.00225
14,0.00209
15,0.00133
16,0.00061
17,0.00036
18,0.00106
19,0.00216
20,0.00231
21,0.00207
22,0.00205
23,0.00230
24,0.00223
25,0.00160
26,0.00080
27,0.00028
28,0.00007
29,0.00001
30,0.00000
31,0.00002
32,0.00012
33,0.00051
34,0.00143
35,0.00287
36,0.00414
37,0.00445
38,0.00389
39,0.00324
40,0.00277
41,0.00209
42,0.00126
43,0.00096
44,0.00196
45,0.00479
46,0.00874
47,0.01111
48,0.00972
49,0.00592
50,0.00303
51,0.00242
52,0.00344
53,0.00699
54,0.01210
55,0.01434
56,0.01365
57,0.01045
58,0.00657
59,0.00376
60,0.00283
61,0.00368
62,0.00575
63,0.00828
64,0.01023
65,0.01098
66,0.01096
67,0.01096
68,0.01135
69,0.01211
70,0.01291
71,0.01295
72,0.01150
73,0.00901
74,0.00713
75,0.00697
76,0.00803
77,0.00895
78,0.00900
79,0.00881
80,0.00988
81,0.01291
82,0.01710
83,0.02144
84,0.02562
85,0.02979
86,0.03372
87,0.03634
88,0.03743
89,0.03864
90,0.04129
91,0.04501
92,0.04728
93,0.04614
94,0.04565
95,0.04970
96,0.05646
97,0.06304
98,0.07111
99,0.08467
100,0.10445
101,0.12566
102,0.14044
103,0.14635
104,0.15261
105,0.16937
106,0.19316
107,0.21434
108,0.23214
109,0.25211
110,0.27541
111,0.29803
112,0.31745
113,0.33658
114,0.36095
115,0.39107
116,0.41827
117,0.43669
118,0.45887
119,0.50090
120,0.55534
121,0.60419
122,0.64690
123,0.69140
124,0.77124
125,0.87569
126,0.93356
127,0.95147
128,0.95136
129,0.96643
130,0.99023
131,1.00000
132,0.99333
133,0.97601
134,0.94890
135,0.90994
136,0.86733
137,0.85199
138,0.88109
139,0.92274
140,0.92657
141,0.87114
142,0.77763
143,0.68686
144,0.62297
145,0.58355
146,0.56278
147,0.56834
148,0.60335
149,0.64142
150,0.64080
151,0.58923
152,0.51472
153,0.44660
154,0.39002
155,0.34027
156,0.29949
157,0.27179
158,0.25472
159,0.24364
160,0.23649
161,0.23799
162,0.24001
163,0.23069
164,0.20308
165,0.16669
166,0.13591
167,0.11405
168,0.09970
169,0.09565
170,0.10210
171,0.10977
172,0.10793
173,0.09788
174,0.09215
175,0.09740
176,0.10338
177,0.09500
178,0.07299
179,0.05435
180,0.05219
181,0.06363
182,0.07255
183,0.06779
184,0.05574
185,0.04604
186,0.03894
187,0.03197
188,0.02613
189,0.02309
190,0.02304
191,0.02559
192,0.02939
193,0.03165
194,0.03038
195,0.02422
196,0.02026
197,0.02070
198,0.02149
199,0.02108
200,0.01993
201,0.01936
202,0.01924
203,0.01811
204,0.01557
205,0.01302
206,0.01182
207,0.01243
208,0.01434
209,0.01575
210,0.01482
211,0.01176
212,0.00878
213,0.00742
214,0.00712
215,0.00693
216,0.00705
217,0.00771
218,0.00799
219,0.00697
220,0.00506
221,0.00322
222,0.00223
223,0.00239
224,0.00324
225,0.00413
226,0.00496
227,0.00579
228,0.00620
229,0.00601
230,0.00645
231,0.01073
232,0.01435
233,0.01237
234,0.00817
235,0.00475
236,0.00318
237,0.00259
238,0.00231
239,0.00272
240,0.00416
241,0.00620
242,0.00828
243,0.01034
244,0.01232
245,0.01316
246,0.01155
247,0.00779
248,0.00394
249,0.00173
250,0.00140
251,0.00226
252,0.00357
253,0.00490
254,0.00611
255,0.00705
256,0.00776
257,0.00875
258,0.01012
259,0.01104
260,0.01102
261,0.01061
262,0.01004
263,0.00889
264,0.00690
265,0.00443
266,0.00154
267,0.00024
268,0.00008
269,0.00019
270,0.00071
271,0.00187
272,0.00340
273,0.00452
274,0.00494
275,0.00538
276,0.00628
277,0.00672
278,0.00577
279,0.00399
280,0.00283
281,0.00286
282,0.00363
283,0.00474
284,0.00643
285,0.00898
286,0.01157
287,0.01265
288,0.01146
289,0.00868
290,0.00549
291,0.00277
292,0.00104
293,0.00028
294,0.00006
295,0.00007
296,0.00031
297,0.00102
298,0.00244
299,0.00433
300,0.00575
301,0.00575
302,0.00364
303,0.00224
304,0.00239
305,0.00245
306,0.00222
307,0.00250
308,0.00355
309,0.00436
310,0.00390
311,0.00247
312,0.00110
313,0.00035
314,0.00008
315,0.00001
316,0.00002
317,0.00010
318,0.00038
319,0.00101
320,0.00182
321,0.00222
322,0.00187
323,0.00109
324,0.00044
325,0.00019
326,0.00032
327,0.00085
328,0.00163
329,0.00219
330,0.00202
331,0.00129
332,0.00060
333,0.00039
334,0.00078
335,0.00169
336,0.00280
337,0.00357
338,0.00283
339,0.00170
340,0.00072
341,0.00020
342,0.00004
343,0.00000
344,0.00000
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00001
355,0.00008
356,0.00039
357,0.00130
358,0.00301
359,0.00000
360,0.00000
