day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00000
5,0.00000
6,0.00000
7,0.00000
8,0.00000
9,0.00000
10,0.00000
11,0.00000
12,0.00000
13,0.00000
14,0.00000
15,0.00000
16,0.00000
17,0.00000
18,0.00000
19,0.00000
20,0.00000
21,0.00000
22,0.00000
23,0.00000
24,0.00000
25,0.00000
26,0.00000
27,0.00000
28,0.00000
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00000
34,0.00000
35,0.00000
36,0.00000
37,0.00000
38,0.00000
39,0.00000
40,0.00000
41,0.00000
42,0.00000
43,0.00000
44,0.00000
45,0.00000
46,0.00000
47,0.00000
48,0.00000
49,0.00000
50,0.00000
51,0.00000
52,0.00000
53,0.00000
54,0.00000
55,0.00000
56,0.00000
57,0.00000
58,0.00000
59,0.00000
60,0.00000
61,0.00000
62,0.00000
63,0.00000
64,0.00000
65,0.00000
66,0.00000
67,0.00000
68,0.00000
69,0.00000
70,0.00000
71,0.00000
72,0.00000
73,0.00000
74,0.00000
75,0.00000
76,0.00000
77,0.00000
78,0.00002
79,0.00005
80,0.00013
81,0.00033
82,0.00069
83,0.00127
84,0.00203
85,0.00281
86,0.00340
87,0.00360
88,0.00333
89,0.00231
90,0.00121
91,0.00068
92,0.00040
93,0.00033
94,0.00049
95,0.00086
96,0.00143
97,0.00213
98,0.00281
99,0.00330
100,0.00344
101,0.00319
102,0.00265
103,0.00203
104,0.00163
105,0.00168
106,0.00233
107,0.00356
108,0.00515
109,0.00669
110,0.00779
111,0.00826
112,0.00822
113,0.00803
114,0.00803
115,0.00841
116,0.00919
117,0.01028
118,0.01161
119,0.01309
120,0.01464
121,0.01622
122,0.01784
123,0.01962
124,0.02286
125,0.02655
126,0.02898
127,0.03108
128,0.03279
129,0.03434
130,0.03617
131,0.03869
132,0.04210
133,0.04639
134,0.05144
135,0.05730
136,0.06424
137,0.07269
138,0.08298
139,0.09519
140,0.10929
141,0.12539
142,0.14384
143,0.16506
144,0.18912
145,0.21546
146,0.24297
147,0.27034
148,0.29661
149,0.32148
150,0.33828
151,0.35415
152,0.36994
153,0.38652
154,0.40497
155,0.42663
156,0.45300
157,0.48508
158,0.52262
159,0.56382
160,0.62833
161,0.68626
162,0.71466
163,0.73495
164,0.74696
165,0.75169
166,0.75167
167,0.75077
168,0.75330
169,0.76266
170,0.78040
171,0.82597
172,0.87732
173,0.90997
174,0.94028
175,0.96421
176,0.97816
177,0.98054
178,0.97256
179,0.95783
180,0.94057
181,0.92421
182,0.91130
183,0.90409
184,0.90415
185,0.91115
186,0.91286
187,0.91208
188,0.90362
189,0.88486
190,0.85714
191,0.82439
192,0.79077
193,0.75994
194,0.73493
195,0.71731
196,0.70822
197,0.70631
198,0.70726
199,0.70721
200,0.70379
201,0.69672
202,0.68697
203,0.67566
204,0.66337
205,0.65065
206,0.63589
207,0.62327
208,0.61358
209,0.60269
210,0.58918
211,0.57282
212,0.55467
213,0.53631
214,0.51907
215,0.50371
216,0.49083
217,0.48068
218,0.47273
219,0.46534
220,0.45605
221,0.44273
222,0.42488
223,0.40415
224,0.38359
225,0.36616
226,0.35338
227,0.34511
228,0.34019
229,0.33734
230,0.33551
231,0.33463
232,0.32968
233,0.31882
234,0.30383
235,0.28697
236,0.27105
237,0.25817
238,0.24896
239,0.24268
240,0.23788
241,0.23318
242,0.22785
243,0.22082
244,0.21185
245,0.20101
246,0.18842
247,0.17470
248,0.16107
249,0.14920
250,0.14212
251,0.13920
252,0.13960
253,0.14067
254,0.13917
255,0.13304
256,0.12232
257,0.10891
258,0.09529
259,0.08332
260,0.07376
261,0.06642
262,0.06070
263,0.05598
264,0.05191
265,0.04848
266,0.04498
267,0.04316
268,0.04271
269,0.04247
270,0.04216
271,0.04156
272,0.04042
273,0.03861
274,0.03619
275,0.03345
276,0.03085
277,0.02878
278,0.02742
279,0.02681
280,0.02687
281,0.02748
282,0.02844
283,0.02964
284,0.03100
285,0.03253
286,0.03410
287,0.03543
288,0.03603
289,0.03536
290,0.03303
291,0.02910
292,0.02418
293,0.01922
294,0.01516
295,0.01258
296,0.01161
297,0.01196
298,0.01313
299,0.01453
300,0.01563
301,0.01612
302,0.01553
303,0.01404
304,0.01266
305,0.01104
306,0.00928
307,0.00757
308,0.00607
309,0.00495
310,0.00429
311,0.00412
312,0.00439
313,0.00493
314,0.00546
315,0.00566
316,0.00535
317,0.00459
318,0.00368
319,0.00296
320,0.00269
321,0.00287
322,0.00330
323,0.00366
324,0.00373
325,0.00345
326,0.00296
327,0.00253
328,0.00228
329,0.00219
330,0.00217
331,0.00210
332,0.00199
333,0.00191
334,0.00192
335,0.00198
336,0.00201
337,0.00174
338,0.00118
339,0.00077
340,0.00044
341,0.00022
342,0.00009
343,0.00003
344,0.00001
345,0.00000
346,0.00000
347,0.00000
348,0.00000
349,0.00000
350,0.00000
351,0.00000
352,0.00000
353,0.00000
354,0.00000
355,0.00000
356,0.00000
357,0.00000
358,0.00000
359,0.00000
360,0.00000
