day,phenology_index
1,0.00000
2,0.00000
3,0.00000
4,0.00010
5,0.00009
6,0.00024
7,0.00065
8,0.00140
9,0.00242
10,0.00330
11,0.00357
12,0.00315
13,0.00252
14,0.00231
15,0.00270
16,0.00332
17,0.00356
18,0.00285
19,0.00199
20,0.00185
21,0.00191
22,0.00181
23,0.00142
24,0.00090
25,0.00045
26,0.00018
27,0.00006
28,0.00001
29,0.00000
30,0.00000
31,0.00000
32,0.00000
33,0.00002
34,0.00007
35,0.00023
36,0.00057
37,0.00111
38,0.00176
39,0.00232
40,0.00265
41,0.00273
42,0.00262
43,0.00240
44,0.00222
45,0.00217
46,0.00211
47,0.00181
48,0.00128
49,0.00073
50,0.00034
51,0.00015
52,0.00017
53,0.00061
54,0.00146
55,0.00208
56,0.00254
57,0.00279
58,0.00290
59,0.00291
60,0.00287
61,0.00274
62,0.00254
63,0.00232
64,0.00220
65,0.00215
66,0.00201
67,0.00167
68,0.00128
69,0.00111
70,0.00130
71,0.00168
72,0.00192
73,0.00190
74,0.00187
75,0.00229
76,0.00331
77,0.00462
78,0.00563
79,0.00603
80,0.00612
81,0.00643
82,0.00730
83,0.00873
84,0.01059
85,0.01267
86,0.01448
87,0.01557
88,0.01618
89,0.01897
90,0.02575
91,0.03234
92,0.03865
93,0.04329
94,0.04637
95,0.04934
96,0.05325
97,0.05755
98,0.06139
99,0.06546
100,0.07140
101,0.07988
102,0.09040
103,0.10325
104,0.11983
105,0.13991
106,0.16055
107,0.17973
108,0.20008
109,0.22681
110,0.26267
111,0.30552
112,0.34931
113,0.38818
114,0.42070
115,0.44954
116,0.47739
117,0.50505
118,0.53408
119,0.56813
120,0.61030
121,0.65976
122,0.71042
123,0.75377
124,0.79642
125,0.82732
126,0.84918
127,0.87422
128,0.89958
129,0.92007
130,0.93220
131,0.93694
132,0.93844
133,0.94188
134,0.95204
135,0.96974
136,0.98900
137,1.00000
138,0.99473
139,0.96939
140,0.92648
141,0.87701
142,0.83664
143,0.81600
144,0.81479
145,0.82473
146,0.83711
147,0.84892
148,0.85777
149,0.85592
150,0.83450
151,0.79270
152,0.73889
153,0.68366
154,0.63472
155,0.59666
156,0.57102
157,0.55532
158,0.54488
159,0.53652
160,0.52380
161,0.50191
162,0.47630
163,0.44566
164,0.41617
165,0.39141
166,0.37109
167,0.35401
168,0.34122
169,0.33498
170,0.33400
171,0.33131
172,0.31856
173,0.29277
174,0.25906
175,0.22677
176,0.20239
177,0.18591
178,0.17328
179,0.16064
180,0.14647
181,0.13164
182,0.11924
183,0.11248
184,0.11144
185,0.11289
186,0.11388
187,0.11454
188,0.11625
189,0.11847
190,0.11871
191,0.11530
192,0.10907
193,0.10245
194,0.09756
195,0.09395
196,0.09203
197,0.09293
198,0.09698
199,0.10221
200,0.10430
201,0.10054
202,0.09207
203,0.08253
204,0.07534
205,0.07138
206,0.06853
207,0.06380
208,0.05679
209,0.05004
210,0.04614
211,0.04577
212,0.04811
213,0.05109
214,0.05228
215,0.05087
216,0.04884
217,0.04872
218,0.05030
219,0.05079
220,0.04803
221,0.04273
222,0.03743
223,0.03398
224,0.03235
225,0.03161
226,0.03129
227,0.03166
228,0.03268
229,0.03336
230,0.03231
231,0.02797
232,0.02531
233,0.02606
234,0.02746
235,0.02890
236,0.03136
237,0.03583
238,0.04144
239,0.04562
240,0.04626
241,0.04352
242,0.03970
243,0.03749
244,0.03810
245,0.04036
246,0.04194
247,0.04219
248,0.04263
249,0.04452
250,0.04666
251,0.04676
252,0.04414
253,0.04011
254,0.03630
255,0.03324
256,0.03055
257,0.02781
258,0.02502
259,0.02253
260,0.02089
261,0.02074
262,0.02237
263,0.02520
264,0.02800
265,0.02989
266,0.03112
267,0.03229
268,0.03371
269,0.03504
270,0.03503
271,0.03275
272,0.02831
273,0.02293
274,0.01819
275,0.01514
276,0.01409
277,0.01485
278,0.01698
279,0.01972
280,0.02201
281,0.02313
282,0.02313
283,0.02283
284,0.02313
285,0.02419
286,0.02518
287,0.02496
288,0.02303
289,0.02007
290,0.01749
291,0.01638
292,0.01668
293,0.01722
294,0.01678
295,0.01506
296,0.01265
297,0.01031
298,0.00865
299,0.00810
300,0.00870
301,0.00989
302,0.01075
303,0.01023
304,0.01016
305,0.01128
306,0.01357
307,0.01601
308,0.01713
309,0.01614
310,0.01360
311,0.01077
312,0.00848
313,0.00685
314,0.00579
315,0.00532
316,0.00547
317,0.00616
318,0.00705
319,0.00758
320,0.00726
321,0.00612
322,0.00479
323,0.00400
324,0.00408
325,0.00467
326,0.00503
327,0.00469
328,0.00373
329,0.00272
330,0.00220
331,0.00233
332,0.00287
333,0.00345
334,0.00386
335,0.00416
336,0.00439
337,0.00417
338,0.00301
339,0.00205
340,0.00153
341,0.00155
342,0.00179
343,0.00182
344,0.00147
345,0.00094
346,0.00053
347,0.00044
348,0.00071
349,0.00126
350,0.00189
351,0.00240
352,0.00266
353,0.00263
354,0.00234
355,0.00180
356,0.00116
357,0.00061
358,0.00026
359,0.00000
360,0.00000
